,Month,Dated Brent $US/Bbl,WTI Spot $US/Bbl,US LLS Onshore $US/Bbl,USA Central OK Sweet $US/Bbl,"Canadian Light Sweet
$/Bbl","Edmonton Synthetic
$/Bbl","Cromer
LSB
35 API
$/Bbl","Hardisty
Heavy
12 API
$/Bbl","Western Canada Select (WCS)
$/Bbl","Hardisty
Bow River
24.9 API
$/Bbl","Cold Lake Blend
22.6 API
$/Bbl","Ethane
Plant Gate
$/Bbl",Propane at Mont Belvieu $US/bbl,Butane at Mont Belvieu $US/bbl,Propane at Conway $US/bbl,Butane at Conway $US/bbl,Asia-Pacific Propane $US/bbl,"Edmonton
Propane
$/Bbl","Edmonton
Butane
$/Bbl","Edmonton
Pentanes
Plus
$/Bbl","Plant
Gate
Sulphur
$/LT","Exchange
Rate
$US/$Cdn",Henry Hub $US/MMbtu,AECO $/MMbtu,San Juan $US/MMbtu,Permian $US/MMbtu,East Texas $US/MMbtu,Rocky Mountain $US/MMbtu,"Opal, Wyoming $US/MMbtu",Alliance Pipeline Delivered Spot Price $US/MMbtu,BC Westcoast Stn. 2 $/MMbtu,Huntingdon / Sumas 30 d Spot $/MMbtu,Empress $/MMbtu,Dawn $/MMbtu, Dutch TTF   $US/MMbtu,AB Ref Price $/MMbtu,IPE Britain NBP $US/Mmbtu,IPE Britain NBP £/Mmbtu,"Exchange
Rate
GBP/USD","Exchange
Rate
EUR/USD","Exchange
Rate
USD/NOK"
0,2020-09-03,45.58,42.76,44.01,39.25,50.549603693058096,52.50530124304752,51.099953961202985,43.46248019337088,45.69101745741411,46.01764405788445,44.50592656189729,7.3058454125,21.84,24.15,19.845,21.945,30.13020345489443,10.92,18.06,53.08708798387398,1.87,0.7654,2.527,2.6365375,2,1.85,2.24,2.15,2.25,2.09,2.717533315913248,2.90019125,2.6154452000000004,2.7209067000000005,4.173111555,2.10923,3.8960824,2.911,1.3384,1.1912,8.7607
1,2020-10-01,40.93,38.72,40.07,35.25,45.51039392501187,48.875074386964094,46.91599430469862,32.49197635577843,36.57712387280493,36.9093497864262,35.37095534365965,4.675741064,20.3196,23.3604,20.529600000000002,23.73,31.793596928982726,12.6,15.96,50.863787375415285,2.36,0.7525,2.527,1.6873840000000002,1.24,0.33,1.63,1.6600000000000001,1.81,1.24,1.5548172757475083,2.6998144,1.7928455,1.6451994,4.782679025,2.09868385,4.7322861,3.6710000000000003,1.2891,1.1748,9.3011
2,2020-11-01,38.97,36.81,38.16,33.25,43.673010837959296,44.2981913104078,44.165284886934366,34.117548826455355,37.56999014730974,37.900415735467284,36.36942061375051,9.32225874635,23.0496,27.72,22.3146,27.825,37.21562763915547,15.54,16.38,49.46290822579482,2.78,0.7566,3.2439999999999998,3.3642218500000003,2.7199999999999998,1.33,2.96,3.06,3.19,2.64,3.145651599259846,4.4504753,3.3958603000000003,3.7860678500000002,4.91872436,2.7209067000000005,5.1668,4,1.2917,1.1641,9.56
3,2020-12-02,47.42,44.55,46.25,41,51.179860302677525,49.95567048247316,52.84374595783209,41.33999340436515,44.9793041003751,45.30267753201396,43.79180294546999,7.3058454125,23.835,28.14,22.6296,30.555,38.940610364683295,15.54,21,54.83960677790712,2.73,0.7731,2.88,2.6365375,2.83,2.63,2.7,2.84,3.14,2.54,2.599922390376406,4.0497216,2.6365375,3.25876035,5.548329515000001,2.5416221500000002,5.805492,4.326,1.342,1.2071,8.8041
4,2021-01-01,51.09,47.62,49.77,44.1,53.20325856163341,55.45583827653969,55.7324877754161,44.68488257853543,48.38612262912761,48.70552980940102,47.189328921726805,7.4227389391,33.2346,32.3946,31.5546,37.38,53.736863723608444,24.36,20.58,61.13392590970207,26.64,0.7827,2.581,2.6787221000000003,2.45,2.45,2.49,2.56,2.62,2.4699999999999998,2.6063625910310466,3.2693065000000003,2.7419990000000003,3.17439115,7.512022645000001,2.4467068,8.0679595,5.945,1.3571,1.2248,8.5556
5,2021-02-01,56.35,53.55,55.45,50.03,62.06209145904101,65.0178027770635,61.542677728004755,48.71083768514548,53.340054945798535,53.66147433381602,52.12729367775313,8.50400406015,36.435,38.6946,36.75,38.745,44.31072552783109,26.46,26.88,69.48410496542203,39.53,0.7778,2.85,3.0689296500000003,2.7,2.68,2.76,2.64,2.82,2.95,3.03419902288506,3.4169526000000006,3.0689296500000003,3.5751448500000005,6.807539825000001,3.1638450000000002,6.5910312,4.824,1.3663,1.206,8.6088
6,2021-03-01,63.69,60.64,62.99,57.12,72.39514620622633,75.41538876278847,69.74699300420016,53.70060685565238,59.07290675151267,59.389082292172844,57.87752038500197,8.03642995375,40.3746,42.7896,38.9046,38.85,46.27077927063339,33.18,30.66,77.94093175267751,55.24,0.7907,2.777,2.90019125,2.55,2.4699999999999998,2.57,2.58,2.66,2.62,2.4282281522701403,3.27985265,2.9107374,3.3536757000000006,5.985994740000001,2.6787221000000003,5.698110000000001,4.0920000000000005,1.3925,1.2049,8.5573
7,2021-04-01,64.86,61.45,63.55,57.93,74.23183529143378,79.99297201462004,72.2366483006928,58.04252170021407,62.77617151273799,63.08984779881075,61.57858054661502,7.4227389391,40.1646,39.9,35.07,37.17,46.180652591170826,28.14,29.82,79.31100321859145,66.95,0.797,2.6390000000000002,2.6787221000000003,2.2800000000000002,2.15,2.38,2.31,2.22,2.35,2.5345043914680048,3.0161989,2.68926825,3.1005681000000003,6.965732075000001,2.4572529500000004,6.5305593,4.721,1.3833,1.1777,8.5198
8,2021-05-01,67.56,64.49,66.44,60.97,74.96618114850158,75.36468134382498,76.03158658407277,61.43206071535502,65.44840671912493,65.75534349015011,64.26920029019475,8.328663770250001,33.7596,35.175,32.445,35.9646,42.642898272552785,26.46,35.699999999999996,75.92387968078576,68.29,0.8145,2.966,3.0056527500000003,2.57,2.56,3.05,2.71,2.8,2.75,2.664211172498465,3.3747680000000004,2.9845604500000005,3.3642218500000003,8.591948405,2.6998144,8.2867827,5.957,1.3911,1.2064,8.2814
9,2021-06-01,70.25,67.72,69.87,64.2,73.063978754225,80.54403971511347,77.38169966199904,66.16688860840526,69.22139063254467,69.52317720907773,68.02637787128371,8.97157816655,38.43,40.425,37.17,41.895,46.65232629558542,31.5,36.54,79.6269917914051,73.56,0.8284,3.104,3.23766805,2.93,2.87,3.01,2.92,3.03,2.91,3.1627233220666344,3.5329602500000004,3.2271219,3.55405255,9.796318735,2.9318297,9.023455000000002,6.377000000000001,1.415,1.2213,8.317
